Summary, degree of truth, degree of imprecision, degree of covering, degree of appropriateness, length of summary, degree of quantifier imprecision, degree of quantifier cardinality, degree of summarizer cardinality, degree of qualifier imprecision, degree of qualifier cardinality, length of qualifier, T
AROUND_1/4  countries from europe compare to countries from north america having small Gas production per capita have small Oil production and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having small Gas production per capita compare to countries from europe have small Oil production and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having small Gas production per capita compare to countries from north america have small Oil production and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having small Gas production per capita compare to countries from europe have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having small Gas production per capita compare to countries from north america have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having small Gas production per capita have average Coal production per capita and small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having small Gas production per capita have average Coal production per capita and small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having small Gas production per capita compare to countries from europe have average Coal production per capita and small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having small Gas production per capita compare to countries from north america have average Coal production per capita and small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having average Coal production per capita and average Annual change in oil production have small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having average Coal production per capita and average Annual change in oil production have small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having average Coal production per capita and average Annual change in oil production compare to countries from europe have small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having average Coal production per capita and average Annual change in oil production compare to countries from north america have small Oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having average Coal production per capita and average Annual change in oil production have small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having average Coal production per capita and average Annual change in oil production have small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having average Coal production per capita and average Annual change in oil production compare to countries from europe have small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having average Coal production per capita and average Annual change in oil production compare to countries from north america have small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having average Coal production per capita and average Annual change in oil production have small Oil production and small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having average Coal production per capita and average Annual change in oil production have small Oil production and small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having average Coal production per capita and average Annual change in oil production compare to countries from europe have small Oil production and small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having average Coal production per capita and average Annual change in oil production compare to countries from north america have small Oil production and small Gas production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having average Coal production per capita and small Oil production and small Gas production per capita have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having average Coal production per capita and small Oil production and small Gas production per capita have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having average Coal production per capita and small Oil production and small Gas production per capita compare to countries from europe have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having average Coal production per capita and small Oil production and small Gas production per capita compare to countries from north america have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having small Oil production and small Gas production per capita have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having small Oil production and small Gas production per capita have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having small Oil production and small Gas production per capita compare to countries from europe have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having small Oil production and small Gas production per capita compare to countries from north america have average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having small Oil production and small Gas production per capita have average Coal production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having small Oil production and small Gas production per capita have average Coal production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having small Oil production and small Gas production per capita compare to countries from europe have average Coal production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having small Oil production and small Gas production per capita compare to countries from north america have average Coal production per capita, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america compare to countries from europe having small Oil production and small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe compare to countries from north america having small Oil production and small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from north america having small Oil production and small Gas production per capita compare to countries from europe have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_1/4  countries from europe having small Oil production and small Gas production per capita compare to countries from north america have average Coal production per capita and average Annual change in oil production, 0.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_3/4 data entries have average Coal production per capita and small Gas production per capita, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.95, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 countries from north america have average Coal production per capita and small Gas production per capita, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.2
AROUND_3/4 countries from europe have average Coal production per capita and small Gas production per capita, 0.0, 0.88, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 data entries have average Coal production per capita and small Oil production and average Annual change in oil production, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.87, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 countries from north america have average Coal production per capita and small Oil production and average Annual change in oil production, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 countries from europe have average Coal production per capita and small Oil production and average Annual change in oil production, 0.0, 0.76, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 data entries have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.87, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 countries from north america have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 countries from europe have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.0, 0.76, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 data entries have average Coal production per capita and small Oil production and small Gas production per capita and average Annual change in oil production, 0.0, 0.7, 1.0, 0.99, 0.13, 0.75, 0.8, 0.79, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 countries from north america have average Coal production per capita and small Oil production and small Gas production per capita and average Annual change in oil production, 0.0, 0.69, 1.0, 0.99, 0.13, 0.75, 0.8, 0.83, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 countries from europe have average Coal production per capita and small Oil production and small Gas production per capita and average Annual change in oil production, 0.0, 0.65, 1.0, 0.99, 0.13, 0.75, 0.8, 0.82, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 data entries have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from north america have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from europe have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 data entries have small Oil production and small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.25, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.09
AROUND_3/4 countries from north america have small Oil production and small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.25, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.09
AROUND_3/4 countries from europe have small Oil production and small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.25, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.09
AROUND_3/4 data entries have average Coal production per capita and small Oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.95, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 countries from north america have average Coal production per capita and small Oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.2
AROUND_3/4 countries from europe have average Coal production per capita and small Oil production, 0.0, 0.88, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 data entries have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from north america have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from europe have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 data entries have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.15
AROUND_3/4 countries from north america have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.15
AROUND_3/4 countries from europe have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.15
AROUND_3/4 data entries have small Oil production and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 countries from north america have small Oil production and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 countries from europe have small Oil production and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 data entries have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 countries from north america have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 countries from europe have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 data entries have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from north america have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from europe have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 data entries have average Coal production per capita and average Annual change in oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.95, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 countries from north america have average Coal production per capita and average Annual change in oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.2
AROUND_3/4 countries from europe have average Coal production per capita and average Annual change in oil production, 0.0, 0.88, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 data entries have average Coal production per capita and small Oil production and small Gas production per capita, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.87, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 countries from north america have average Coal production per capita and small Oil production and small Gas production per capita, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 countries from europe have average Coal production per capita and small Oil production and small Gas production per capita, 0.0, 0.76, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.18
AROUND_3/4 data entries have small Oil production and small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 countries from north america have small Oil production and small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 countries from europe have small Oil production and small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.1
AROUND_3/4 data entries having average Coal production per capita and small Gas production per capita have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.91, 0.95, 0.5, 0.18
AROUND_3/4 countries from north america having average Coal production per capita and small Gas production per capita have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.91, 0.97, 0.5, 0.18
AROUND_3/4 countries from europe having average Coal production per capita and small Gas production per capita have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.88, 0.97, 0.5, 0.18
AROUND_3/4 data entries having average Coal production per capita and small Gas production per capita have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.91, 0.95, 0.5, 0.18
AROUND_3/4 countries from north america having average Coal production per capita and small Gas production per capita have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.91, 0.97, 0.5, 0.18
AROUND_3/4 countries from europe having average Coal production per capita and small Gas production per capita have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.88, 0.97, 0.5, 0.18
AROUND_3/4 data entries having average Coal production per capita and small Gas production per capita have small Oil production and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.91, 0.95, 0.5, 0.16
AROUND_3/4 countries from north america having average Coal production per capita and small Gas production per capita have small Oil production and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.91, 0.97, 0.5, 0.16
AROUND_3/4 countries from europe having average Coal production per capita and small Gas production per capita have small Oil production and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.88, 0.97, 0.5, 0.16
AROUND_3/4 data entries having average Coal production per capita and small Oil production and average Annual change in oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.79, 0.87, 0.25, 0.16
AROUND_3/4 countries from north america having average Coal production per capita and small Oil production and average Annual change in oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.79, 0.9, 0.25, 0.17
AROUND_3/4 countries from europe having average Coal production per capita and small Oil production and average Annual change in oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.76, 0.9, 0.25, 0.16
AROUND_3/4 data entries having average Coal production per capita and small Gas production per capita and average Annual change in oil production have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.79, 0.87, 0.25, 0.16
AROUND_3/4 countries from north america having average Coal production per capita and small Gas production per capita and average Annual change in oil production have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.79, 0.9, 0.25, 0.16
AROUND_3/4 countries from europe having average Coal production per capita and small Gas production per capita and average Annual change in oil production have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.76, 0.9, 0.25, 0.16
AROUND_3/4 data entries having small Oil production have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from north america having small Oil production have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from europe having small Oil production have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 data entries having small Oil production have average Coal production per capita and small Gas production per capita, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.95, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 countries from north america having small Oil production have average Coal production per capita and small Gas production per capita, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 countries from europe having small Oil production have average Coal production per capita and small Gas production per capita, 0.0, 0.88, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 data entries having small Oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 countries from north america having small Oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 countries from europe having small Oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 data entries having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.87, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 countries from north america having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.0, 0.79, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 countries from europe having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.0, 0.76, 1.0, 0.99, 0.25, 0.75, 0.8, 0.9, 0.0, 0.0, 1.0, 0.19
AROUND_3/4 data entries having small Oil production have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from north america having small Oil production have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 countries from europe having small Oil production have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.12
AROUND_3/4 data entries having small Oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from north america having small Oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from europe having small Oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 data entries having small Oil production have average Coal production per capita and average Annual change in oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.95, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 countries from north america having small Oil production have average Coal production per capita and average Annual change in oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 countries from europe having small Oil production have average Coal production per capita and average Annual change in oil production, 0.0, 0.88, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 data entries having small Oil production and small Gas production per capita and average Annual change in oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 0.25, 0.14
AROUND_3/4 countries from north america having small Oil production and small Gas production per capita and average Annual change in oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 0.25, 0.14
AROUND_3/4 countries from europe having small Oil production and small Gas production per capita and average Annual change in oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 0.25, 0.14
AROUND_3/4 data entries having average Coal production per capita and small Oil production have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.91, 0.95, 0.5, 0.18
AROUND_3/4 countries from north america having average Coal production per capita and small Oil production have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.91, 0.97, 0.5, 0.18
AROUND_3/4 countries from europe having average Coal production per capita and small Oil production have average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.88, 0.97, 0.5, 0.18
AROUND_3/4 data entries having average Coal production per capita and small Oil production have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.91, 0.95, 0.5, 0.16
AROUND_3/4 countries from north america having average Coal production per capita and small Oil production have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.91, 0.97, 0.5, 0.16
AROUND_3/4 countries from europe having average Coal production per capita and small Oil production have small Gas production per capita and average Annual change in oil production, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.8, 0.0, 0.88, 0.97, 0.5, 0.16
AROUND_3/4 data entries having average Coal production per capita and small Oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.91, 0.95, 0.5, 0.18
AROUND_3/4 countries from north america having average Coal production per capita and small Oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.91, 0.97, 0.5, 0.18
AROUND_3/4 countries from europe having average Coal production per capita and small Oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.88, 0.97, 0.5, 0.18
AROUND_3/4 data entries having average Annual change in oil production have average Coal production per capita and small Gas production per capita, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.95, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 countries from north america having average Annual change in oil production have average Coal production per capita and small Gas production per capita, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 countries from europe having average Annual change in oil production have average Coal production per capita and small Gas production per capita, 0.0, 0.88, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 data entries having average Annual change in oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 countries from north america having average Annual change in oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 countries from europe having average Annual change in oil production have average Coal production per capita, 0.0, 0.99, 0.01, 0.0, 1.0, 0.75, 0.8, 1.0, 0.0, 0.0, 1.0, 0.17
AROUND_3/4 data entries having average Annual change in oil production have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from north america having average Annual change in oil production have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from europe having average Annual change in oil production have small Oil production, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 data entries having average Annual change in oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from north america having average Annual change in oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.01, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 countries from europe having average Annual change in oil production have small Gas production per capita, 0.0, 0.0, 1.0, 0.0, 1.0, 0.75, 0.8, 0.0, 0.0, 0.0, 1.0, 0.14
AROUND_3/4 data entries having average Annual change in oil production have average Coal production per capita and small Oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.95, 0.0, 0.0, 1.0, 0.21
AROUND_3/4 countries from north america having average Annual change in oil production have average Coal production per capita and small Oil production, 0.0, 0.91, 1.0, 0.99, 0.5, 0.75, 0.8, 0.97, 0.0, 0.0, 1.0, 0.21
